問,科目,解答,正誤,回答,理由
問1,物理,"[(3,)]",○,[3],ダニエル電池の起電力は、正極（銅）の標準電極電位から負極（亜鉛）の標準電極電位を引いて求める。正極の電位は+0.337 V、負極の電位は-0.763 Vであるため、起電力 = (+0.337 V) - (-0.763 V) = +1.100 V となる。したがって、選択肢3が正しい。
問2,物理,"[(4,)]",○,[4],熱力学における閉じた系とは、外界との間で物質の移動はないが、エネルギー（熱や仕事）のやりとりは可能な系を指す。選択肢の中で、熱と仕事はエネルギーの形態であり、閉じた系で外界とやりとりできる。物質はやりとりできない。したがって、熱と仕事の組み合わせである選択肢4が正しい。
問3,物理,"[(5,)]",○,[5],難溶性塩である水酸化鉄(III) Fe(OH)₃ の溶解平衡は Fe(OH)₃ ⇌ Fe³⁺ + 3OH⁻ で表される。純水中での溶解度を S [mol/L] とすると、平衡時のイオン濃度は [Fe³⁺] = S [mol/L]、[OH⁻] = 3S [mol/L] となる。溶解度積 Ksp は、これらのイオン濃度の積で表され、Ksp = [Fe³⁺][OH⁻]³ = (S) * (3S)³ = S * 27S³ = 27S⁴ [(mol/L)⁴] となる。したがって、選択肢5が正しい。
問4,物理,"[(5,)]",○,[5],"スピン量子数が1/2である原子核（例: ¹H, ¹³C）が外部磁場中に置かれると、核スピンの磁気モーメントと外部磁場の相互作用により、エネルギー準位が分裂する。この現象はゼーマン効果（ゼーマン分裂）と呼ばれる。これにより、NMR（核磁気共鳴）分光法が可能となる。化学シフトは核周囲の電子環境による共鳴周波数の差、McLafferty転位やラジカル開裂は質量分析におけるイオンの開裂様式、超微細分裂は電子スピンと核スピンなどの相互作用による分裂である。したがって、選択肢5が正しい。"
問5,物理,"[(1,)]",○,[1],初期の薬物Xの物質量は 50 mmol。水相の体積は 100 mL。酢酸エチル相（体積 V mL）に抽出後、酢酸エチル相中のXは 45 mmol。したがって、水相に残ったXは 50 - 45 = 5 mmol。分配係数 K は (酢酸エチル相中の濃度) / (水相中の濃度) で定義される。酢酸エチル相中の濃度は 45/V [mmol/mL]、水相中の濃度は 5/100 [mmol/mL]。分配係数は 18 なので、K = (45/V) / (5/100) = 18。これを解くと、(45/V) * (100/5) = 18 => (45/V) * 20 = 18 => 900/V = 18 => V = 900 / 18 = 50 [mL]。したがって、酢酸エチル相の体積は 50 mL であり、選択肢1が正しい。
問6,化学,"[(4,)]",×,[1],アノマーとは、環状構造を持つ糖において、ヘミアセタール（またはヘミケタール）炭素（アノマー炭素、通常は1位または2位）の立体配置のみが異なる異性体のこと。化合物Aはβ-D-グルコピラノースである（1位のOH基が上向き）。選択肢1はα-D-グルコピラノース（1位のOH基が下向き）であり、化合物Aのアノマーである。選択肢2はD-マンノース（2位のエピマー）、選択肢3はD-ガラクトース（4位のエピマー）、選択肢4はL-グルコース（鏡像異性体）、選択肢5はD-フルクトフラノース（構造異性体）である。したがって、選択肢1が正しい。
問7,化学,"[(3,)]",×,[5],示された薬物の構造は、スルホンアミド基(-SO₂NH₂)とアミド基(-CONH₂)を持つ。この構造は、炭酸脱水酵素阻害薬であるアセタゾラミドに類似している。炭酸脱水酵素は活性中心に亜鉛(Zn)イオンを持つ金属酵素である。この種の阻害薬は、活性中心のZnイオンに配位することで酵素活性を阻害する。したがって、この薬物に含まれる金属元素Mとして最も可能性が高いのは亜鉛(Zn)である。選択肢5が正しい。
問8,化学,"[(5,)]",○,[5],化合物の酸性度は、プロトンを放出した後の共役塩基の安定性に依存する。選択肢1はシクロヘキサノールで脂肪族アルコールであり、酸性度は非常に低い。選択肢2-5はフェノール誘導体であり、フェノール性水酸基を持つため、1より酸性度が高い。フェノール(2)と比較して、置換基が共役塩基（フェノキシドイオン）を安定化させるほど酸性度は高くなる。アミノ基(-NH₂)は電子供与基であり、共役塩基を不安定化させるため酸性度は低い(3)。塩素原子(-Cl)は誘起効果により電子求引性を示し、共役塩基をやや安定化させるため酸性度は2より高い(4)。ニトロ基(-NO₂)は誘起効果および共鳴効果により強い電子求引性を示し、共役塩基の負電荷を非局在化させて最も安定化させるため、酸性度が最も高い(5)。したがって、選択肢5が正しい。
問9,化学,"[(4,)]",○,[4],ベンジルカチオンの安定性は、カチオン中心の正電荷を非局在化させる置換基によって向上する。メトキシ基(-OCH₃)は、酸素原子の非共有電子対による共鳴効果（電子供与性）を持ち、ベンゼン環のオルト位およびパラ位に付くとカチオンを強く安定化させる。メタ位では共鳴効果による安定化は起こりにくい。選択肢1はオルト位、選択肢2はメタ位、選択肢3はパラ位に-OCH₃が1つ。選択肢4はオルト位とパラ位に-OCH₃が1つずつ。選択肢5はメタ位に2つ。ベンジルカチオンの正電荷は、カチオン中心の炭素、オルト位、パラ位に非局在化する。したがって、オルト位とパラ位の両方に電子供与性の-OCH₃基を持つ選択肢4が、最も効果的に正電荷を非局在化させ、カチオンを安定化する。したがって、選択肢4が正しい。
問10,化学,"[(3,)]",○,[3],ビンクリスチンは、インドール環を含む複雑な構造を持つインドールアルカロイドである。インドールアルカロイドの生合成における基本的な前駆体は、インドール環を持つアミノ酸であるトリプトファンである。したがって、選択肢3が正しい。
